station_id,count,latitude,longitude
116,0,40.74177603,-74.00149746
119,12,40.69608941,-73.97803415
120,7,40.68676793,-73.95928168
127,36,40.73172428,-74.00674436
128,0,40.72710258,-74.00297088
143,42,40.69239502,-73.99337909
144,10,40.69839895,-73.98068914
146,13,40.71625008,-74.0091059
150,7,40.7208736,-73.98085795
151,0,40.72210379,-73.99724901
157,7,40.69089272,-73.99612349
161,19,40.72917025,-73.99810231
164,0,40.75323098,-73.97032517
167,76,40.7489006,-73.97604882
168,0,40.73971301,-73.99456405
173,31,40.76068327,-73.98452729
174,7,40.7381765,-73.97738662
195,108,40.70905623,-74.01043382
2000,49,40.70255088,-73.98940236
2002,7,40.716887,-73.963198
2003,9,40.73381219,-73.98054421
2005,7,40.70531194,-73.97100056
2006,0,40.76590936,-73.97634151
2008,0,40.70569254,-74.01677685
2009,7,40.71117444,-73.99682619
2012,37,40.739445,-73.976806
2017,40,40.75022392,-73.97121414
2021,19,40.75929124,-73.98859651
2022,7,40.759107,-73.959223
212,106,40.74334935,-74.00681753
216,7,40.70037867,-73.99548059
217,57,40.70277159,-73.99383605
223,22,40.73781509,-73.99994661
224,66,40.71146364,-74.00552427
228,0,40.7546011,-73.97187886
229,0,40.72743423,-73.99379025
236,13,40.7284186,-73.98713956
237,7,40.73047309,-73.98672378
238,10,40.7361967,-74.00859207
239,31,40.69196566,-73.9813018
241,7,40.68981035,-73.97493121
242,10,40.697787,-73.973736
243,7,40.68841,-73.979458
244,7,40.69196035,-73.96536851
245,7,40.69327018,-73.97703874
247,7,40.73535398,-74.00483091
248,163,40.72185379,-74.00771779
249,366,40.71870987,-74.0090009
250,0,40.72456089,-73.99565293
251,102,40.72317958,-73.99480012
252,21,40.73226398,-73.99852205
254,7,40.73532427,-73.99800419
257,96,40.71939226,-74.00247214
258,7,40.68940747,-73.96885458
259,0,40.70122128,-74.01234218
260,238,40.70365182,-74.01167797
261,7,40.69474881,-73.98362464
262,7,40.6917823,-73.9737299
264,118,40.70706456,-74.00731853
265,7,40.72229346,-73.99147535
266,7,40.72368361,-73.97574813
267,34,40.75097711,-73.98765428
268,0,40.71910537,-73.99973337
270,9,40.69308257,-73.97178913
274,7,40.68691865,-73.976682
275,7,40.68650065,-73.96563307
276,288,40.71748752,-74.0104554
278,7,40.69766564,-73.98476437
279,18,40.707873,-74.00167
280,16,40.73331967,-73.99510132
281,0,40.7643971,-73.97371465
282,9,40.70764494,-73.96841526
284,0,40.73901691,-74.00263761
285,0,40.73454567,-73.99074142
289,7,40.6845683,-73.95881081
291,9,40.713126,-73.984844
293,0,40.73020661,-73.99102628
295,7,40.71406667,-73.99293911
296,9,40.71413089,-73.9970468
297,9,40.734232,-73.986923
298,12,40.68683208,-73.9796772
3002,0,40.711512,-74.015756
301,15,40.72217444,-73.98368779
3016,19,40.72036775,-73.96165073
302,7,40.72082834,-73.97793172
303,0,40.72362738,-73.99949601
304,0,40.70463334,-74.01361706
3041,7,40.67890679,-73.94142771
3042,7,40.6794268,-73.9298911
3043,7,40.6814598,-73.934903
3044,7,40.6800105,-73.938475
3046,7,40.682601,-73.938037
3047,7,40.6823687,-73.944118
3048,7,40.68402,-73.94977
3049,7,40.68488,-73.96304
305,30,40.76095756,-73.96724467
3050,7,40.6851532,-73.94111
3052,7,40.686312,-73.935775
3053,7,40.6900815,-73.947915
3054,7,40.6894932,-73.942061
3055,7,40.6883337,-73.950916
3056,7,40.69072549,-73.95133465
3057,7,40.69128258,-73.9452416
3058,7,40.69237074,-73.93705428
3059,7,40.6933982,-73.939877
3060,7,40.69425403,-73.94626915
3061,7,40.69622937,-73.94371094
3062,7,40.69539817,-73.94954908
3063,7,40.69527008,-73.95238108
3064,12,40.69681963,-73.93756926
3065,12,40.70029511,-73.95032283
3066,7,40.69957608,-73.94708417
3067,7,40.7016657,-73.9437303
3068,7,40.7031724,-73.940636
3069,7,40.70411791,-73.94818595
307,7,40.71427487,-73.98990025
3070,7,40.70510918,-73.94407279
3071,10,40.70538077,-73.94976519
3072,9,40.70583339,-73.94644578
3074,9,40.70767788,-73.94016171
3075,7,40.70708701,-73.95796783
3076,7,40.70870368,-73.9448625
3077,7,40.70877084,-73.95095259
3078,21,40.70924826,-73.96063149
308,12,40.71307916,-73.99851193
3080,7,40.70934,-73.95608
3081,7,40.711863,-73.944024
3082,7,40.71167351,-73.95141312
3083,7,40.71247661,-73.94100005
3085,7,40.71469,-73.95739
3086,19,40.715143,-73.944507
3087,7,40.71413311,-73.95234386
3088,7,40.7160751,-73.952029
309,0,40.7149787,-74.013012
3092,9,40.7190095,-73.95852515
3093,22,40.71745169,-73.95850939
3094,7,40.7169811,-73.94485918
3095,7,40.71929301,-73.94500379
3096,7,40.71924,-73.95242
310,10,40.68926942,-73.98912867
3100,7,40.72481256,-73.94752622
3101,12,40.72079821,-73.95484712
3102,7,40.72179134,-73.9504154
3105,7,40.724055,-73.955736
3106,7,40.72325,-73.94308
3107,7,40.72311651,-73.95212324
3108,7,40.72557,-73.94434
3109,7,40.72606,-73.95621
311,7,40.7172274,-73.98802084
3110,9,40.72708584,-73.95299117
3112,9,40.72906,-73.95779
3113,7,40.73026,-73.95394
3115,7,40.73232194,-73.9550858
3116,7,40.73266,-73.95826
3117,7,40.73564,-73.95866
3118,7,40.73555,-73.95284
3119,55,40.74232744,-73.95411749
312,9,40.722055,-73.989111
3121,7,40.74524768,-73.94733276
3122,7,40.74436329,-73.95587325
3123,7,40.74469738,-73.93540375
3124,7,40.74731,-73.95451
3125,10,40.74708586,-73.94977234
3126,7,40.74718234,-73.9432635
3127,12,40.74966,-73.9521
3128,7,40.75052534,-73.94594845
3129,16,40.75110165,-73.94073717
313,7,40.69610226,-73.96751037
3130,9,40.75325964,-73.94335788
3131,10,40.7671284,-73.96224618
3132,249,40.76350532,-73.97109243
3134,13,40.76312584,-73.96526895
3135,7,40.77112927,-73.95772297
3136,18,40.766368,-73.971518
3137,10,40.77282817,-73.96685276
3139,31,40.77118288,-73.96409422
314,42,40.69383,-73.990539
3140,7,40.77140426,-73.9535166
3141,52,40.76500525,-73.95818491
3142,27,40.7612274,-73.96094022
3143,7,40.77632142,-73.96427393
3145,7,40.77862688,-73.95772073
3146,12,40.77573034,-73.9567526
3148,7,40.77565541,-73.95068615
315,0,40.70355377,-74.00670227
3150,7,40.77536905,-73.94803392
3151,7,40.7728384,-73.94989233
3152,7,40.76873687,-73.96119945
3154,7,40.77314236,-73.95856158
3155,7,40.76440023,-73.96648977
3156,13,40.76663814,-73.95348296
3157,7,40.77518615,-73.94446054
3158,57,40.77163851,-73.98261428
3159,24,40.77492513,-73.98266566
316,49,40.70955958,-74.00653609
3160,30,40.77896784,-73.97374737
3161,16,40.78018397,-73.97728533
3162,7,40.78339981,-73.98093133
3163,15,40.7734066,-73.97782542
3164,18,40.7770575,-73.97898475
3165,24,40.77579377,-73.97620574
3166,7,40.78057799,-73.98562431
3167,9,40.77966809,-73.98093045
3168,37,40.78472675,-73.96961715
3169,7,40.78720869,-73.98128127
317,7,40.72453734,-73.98185424
3170,7,40.78499979,-73.97283406
3171,9,40.78524672,-73.97667321
3172,7,40.7785669,-73.97754961
3173,7,40.77750703,-73.98888588
3175,7,40.77748046,-73.98288594
3177,7,40.7867947,-73.977112
3178,7,40.78414472,-73.98362492
3179,12,40.698617,-73.941342
3182,7,40.686931,-74.016966
319,42,40.711066,-74.009447
320,34,40.717571,-74.005549
321,19,40.69991755,-73.98971773
3221,12,40.743,-73.93561
3226,15,40.78275,-73.97137
323,39,40.69236178,-73.98631746
3231,12,40.7678008,-73.96592081
3232,7,40.68962189,-73.98304269
3233,0,40.75724568,-73.97805914
3235,192,40.75216528,-73.97992194
3236,10,40.75898481,-73.99379969
324,24,40.689888,-73.981013
3241,7,40.686203,-73.944694
3242,16,40.69102926,-73.99183363
3243,7,40.75892386,-73.96226227
