station_id,count,latitude,longitude
119,18,40.69608941,-73.97803415
120,10,40.68676793,-73.95928168
127,54,40.73172428,-74.00674436
143,63,40.69239502,-73.99337909
144,15,40.69839895,-73.98068914
146,19,40.71625008,-74.0091059
150,10,40.7208736,-73.98085795
157,10,40.69089272,-73.99612349
161,28,40.72917025,-73.99810231
167,114,40.7489006,-73.97604882
173,46,40.76068327,-73.98452729
174,10,40.7381765,-73.97738662
195,162,40.70905623,-74.01043382
2000,73,40.70255088,-73.98940236
2002,10,40.716887,-73.963198
2003,13,40.73381219,-73.98054421
2005,10,40.70531194,-73.97100056
2009,10,40.71117444,-73.99682619
2012,55,40.739445,-73.976806
2017,60,40.75022392,-73.97121414
2021,28,40.75929124,-73.98859651
2022,10,40.759107,-73.959223
212,159,40.74334935,-74.00681753
216,10,40.70037867,-73.99548059
217,85,40.70277159,-73.99383605
223,33,40.73781509,-73.99994661
224,99,40.71146364,-74.00552427
236,19,40.7284186,-73.98713956
237,10,40.73047309,-73.98672378
238,15,40.7361967,-74.00859207
239,46,40.69196566,-73.9813018
241,10,40.68981035,-73.97493121
242,15,40.697787,-73.973736
243,10,40.68841,-73.979458
244,10,40.69196035,-73.96536851
245,10,40.69327018,-73.97703874
247,10,40.73535398,-74.00483091
248,244,40.72185379,-74.00771779
249,549,40.71870987,-74.0090009
251,153,40.72317958,-73.99480012
252,31,40.73226398,-73.99852205
254,10,40.73532427,-73.99800419
257,144,40.71939226,-74.00247214
258,10,40.68940747,-73.96885458
260,357,40.70365182,-74.01167797
261,10,40.69474881,-73.98362464
262,10,40.6917823,-73.9737299
264,177,40.70706456,-74.00731853
265,10,40.72229346,-73.99147535
266,10,40.72368361,-73.97574813
267,51,40.75097711,-73.98765428
270,13,40.69308257,-73.97178913
274,10,40.68691865,-73.976682
275,10,40.68650065,-73.96563307
276,432,40.71748752,-74.0104554
278,10,40.69766564,-73.98476437
279,27,40.707873,-74.00167
280,24,40.73331967,-73.99510132
282,13,40.70764494,-73.96841526
289,10,40.6845683,-73.95881081
291,13,40.713126,-73.984844
295,10,40.71406667,-73.99293911
296,13,40.71413089,-73.9970468
297,13,40.734232,-73.986923
298,18,40.68683208,-73.9796772
301,22,40.72217444,-73.98368779
3016,28,40.72036775,-73.96165073
302,10,40.72082834,-73.97793172
3041,10,40.67890679,-73.94142771
3042,10,40.6794268,-73.9298911
3043,10,40.6814598,-73.934903
3044,10,40.6800105,-73.938475
3046,10,40.682601,-73.938037
3047,10,40.6823687,-73.944118
3048,10,40.68402,-73.94977
3049,10,40.68488,-73.96304
305,45,40.76095756,-73.96724467
3050,10,40.6851532,-73.94111
3052,10,40.686312,-73.935775
3053,10,40.6900815,-73.947915
3054,10,40.6894932,-73.942061
3055,10,40.6883337,-73.950916
3056,10,40.69072549,-73.95133465
3057,10,40.69128258,-73.9452416
3058,10,40.69237074,-73.93705428
3059,10,40.6933982,-73.939877
3060,10,40.69425403,-73.94626915
3061,10,40.69622937,-73.94371094
3062,10,40.69539817,-73.94954908
3063,10,40.69527008,-73.95238108
3064,18,40.69681963,-73.93756926
3065,18,40.70029511,-73.95032283
3066,10,40.69957608,-73.94708417
3067,10,40.7016657,-73.9437303
3068,10,40.7031724,-73.940636
3069,10,40.70411791,-73.94818595
307,10,40.71427487,-73.98990025
3070,10,40.70510918,-73.94407279
3071,15,40.70538077,-73.94976519
3072,13,40.70583339,-73.94644578
3074,13,40.70767788,-73.94016171
3075,10,40.70708701,-73.95796783
3076,10,40.70870368,-73.9448625
3077,10,40.70877084,-73.95095259
3078,31,40.70924826,-73.96063149
308,18,40.71307916,-73.99851193
3080,10,40.70934,-73.95608
3081,10,40.711863,-73.944024
3082,10,40.71167351,-73.95141312
3083,10,40.71247661,-73.94100005
3085,10,40.71469,-73.95739
3086,28,40.715143,-73.944507
3087,10,40.71413311,-73.95234386
3088,10,40.7160751,-73.952029
3092,13,40.7190095,-73.95852515
3093,33,40.71745169,-73.95850939
3094,10,40.7169811,-73.94485918
3095,10,40.71929301,-73.94500379
3096,10,40.71924,-73.95242
310,15,40.68926942,-73.98912867
3100,10,40.72481256,-73.94752622
3101,18,40.72079821,-73.95484712
3102,10,40.72179134,-73.9504154
3105,10,40.724055,-73.955736
3106,10,40.72325,-73.94308
3107,10,40.72311651,-73.95212324
3108,10,40.72557,-73.94434
3109,10,40.72606,-73.95621
311,10,40.7172274,-73.98802084
3110,13,40.72708584,-73.95299117
3112,13,40.72906,-73.95779
3113,10,40.73026,-73.95394
3115,10,40.73232194,-73.9550858
3116,10,40.73266,-73.95826
3117,10,40.73564,-73.95866
3118,10,40.73555,-73.95284
3119,82,40.74232744,-73.95411749
312,13,40.722055,-73.989111
3121,10,40.74524768,-73.94733276
3122,10,40.74436329,-73.95587325
3123,10,40.74469738,-73.93540375
3124,10,40.74731,-73.95451
3125,15,40.74708586,-73.94977234
3126,10,40.74718234,-73.9432635
3127,18,40.74966,-73.9521
3128,10,40.75052534,-73.94594845
3129,24,40.75110165,-73.94073717
313,10,40.69610226,-73.96751037
3130,13,40.75325964,-73.94335788
3131,15,40.7671284,-73.96224618
3132,373,40.76350532,-73.97109243
3134,19,40.76312584,-73.96526895
3135,10,40.77112927,-73.95772297
3136,27,40.766368,-73.971518
3137,15,40.77282817,-73.96685276
3139,46,40.77118288,-73.96409422
314,63,40.69383,-73.990539
3140,10,40.77140426,-73.9535166
3141,78,40.76500525,-73.95818491
3142,40,40.7612274,-73.96094022
3143,10,40.77632142,-73.96427393
3145,10,40.77862688,-73.95772073
3146,18,40.77573034,-73.9567526
3148,10,40.77565541,-73.95068615
3150,10,40.77536905,-73.94803392
3151,10,40.7728384,-73.94989233
3152,10,40.76873687,-73.96119945
3154,10,40.77314236,-73.95856158
3155,10,40.76440023,-73.96648977
3156,19,40.76663814,-73.95348296
3157,10,40.77518615,-73.94446054
3158,85,40.77163851,-73.98261428
3159,36,40.77492513,-73.98266566
316,73,40.70955958,-74.00653609
3160,45,40.77896784,-73.97374737
3161,24,40.78018397,-73.97728533
3162,10,40.78339981,-73.98093133
3163,22,40.7734066,-73.97782542
3164,27,40.7770575,-73.97898475
3165,36,40.77579377,-73.97620574
3166,10,40.78057799,-73.98562431
3167,13,40.77966809,-73.98093045
3168,55,40.78472675,-73.96961715
3169,10,40.78720869,-73.98128127
317,10,40.72453734,-73.98185424
3170,10,40.78499979,-73.97283406
3171,13,40.78524672,-73.97667321
3172,10,40.7785669,-73.97754961
3173,10,40.77750703,-73.98888588
3175,10,40.77748046,-73.98288594
3177,10,40.7867947,-73.977112
3178,10,40.78414472,-73.98362492
3179,18,40.698617,-73.941342
3182,10,40.686931,-74.016966
319,63,40.711066,-74.009447
320,51,40.717571,-74.005549
321,28,40.69991755,-73.98971773
3221,18,40.743,-73.93561
3226,22,40.78275,-73.97137
323,58,40.69236178,-73.98631746
3231,18,40.7678008,-73.96592081
3232,10,40.68962189,-73.98304269
3235,288,40.75216528,-73.97992194
3236,15,40.75898481,-73.99379969
324,36,40.689888,-73.981013
3241,10,40.686203,-73.944694
3242,24,40.69102926,-73.99183363
3243,10,40.75892386,-73.96226227
3244,13,40.73143724,-73.99490342
3249,10,40.68035608,-73.9476791
325,22,40.73624527,-73.98473765
3256,231,40.72771408,-74.01129574
3259,10,40.74937024,-73.99923384
326,10,40.72953837,-73.98426726
3260,28,40.72706363,-73.99662137
328,54,40.72405549,-74.00965965
3282,103,40.78307,-73.95939
3283,10,40.7882213,-73.97041561
3284,10,40.7814107,-73.95595908
3285,19,40.78839,-73.9747
3286,10,40.7806284,-73.9521667
3287,10,40.789622,-73.97757
3288,10,40.778301,-73.9488134
3289,10,40.79017948,-73.97288918
3290,10,40.7779453,-73.946041
3292,19,40.7857851,-73.957481
3293,10,40.7921,-73.9739
3294,10,40.7835016,-73.955327
3295,24,40.79127,-73.964839
3296,13,40.78245418,-73.94891962
3298,13,40.686371,-73.99383324
3299,10,40.78813,-73.95206
330,63,40.71450451,-74.00562789
3300,10,40.66514682,-73.97637606
3301,15,40.7919557,-73.968087
3302,10,40.7969347,-73.96434123
3303,10,40.6849894,-73.99440329
3304,10,40.668127,-73.98377641
3305,10,40.7811223,-73.94965589
3306,10,40.6662078,-73.98199886
3307,10,40.7941654,-73.974124
3308,10,40.6861758,-73.99645295
3309,15,40.7859201,-73.94860294
331,10,40.71173107,-73.99193043
3310,13,40.663779,-73.98396846
3312,10,40.7817212,-73.94594
3313,10,40.6663181,-73.9854617
3314,19,40.7937704,-73.971888
3315,10,40.6847514,-73.99917254
3317,10,40.6686273,-73.98700053
3318,22,40.7839636,-73.9471673
3319,10,40.666287,-73.98895053
332,36,40.71219906,-73.97948148
3320,10,40.79406661,-73.96286845
3321,10,40.6831164,-73.99785267
3322,10,40.668603,-73.9904394
3323,10,40.7981856,-73.9605909
3324,10,40.6685455,-73.99333264
3325,10,40.7849032,-73.950503
3327,10,40.7877214,-73.94728331
3328,10,40.795,-73.9645
3329,10,40.6829151,-73.99318208
3330,10,40.6725058,-74.00494695
3331,10,40.8013434,-73.97114574
3332,10,40.68199044,-73.99079025
3333,10,40.6747055,-74.0075572
3335,10,40.6772744,-73.98282002
3336,18,40.787801,-73.953559
3337,13,40.67363551,-74.01195556
3338,10,40.7862586,-73.94552579
3339,10,40.6765304,-73.97846879
334,231,40.74238787,-73.99726235
3341,10,40.795346,-73.96186
3342,10,40.6777748,-74.0094613
3343,10,40.7997568,-73.96211287
3344,10,40.679043,-74.011169
3345,22,40.78948542,-73.95242929
3346,10,40.67514684,-73.97523209
3347,10,40.6773429,-74.01275056
3348,10,40.677236,-74.015665
3349,10,40.6729679,-73.97087984
335,91,40.72903917,-73.99404649
3350,10,40.7973721,-73.97041192
3351,15,40.7869946,-73.94164802
3352,10,40.67267243,-74.00879525
3354,10,40.668132,-73.97363831
3355,24,40.76800889,-73.96845281
3356,10,40.7746671,-73.98470567
3357,13,40.8008363,-73.96644925
3358,10,40.6711978,-73.97484126
3359,10,40.7691572,-73.96703464
336,10,40.73047747,-73.99906065
3360,10,40.7829391,-73.9786517
3362,10,40.7781314,-73.96069399
3363,15,40.7904828,-73.95033068
3364,10,40.6751622,-73.9814832
3365,10,40.6703837,-73.97839676
3366,10,40.8021174,-73.96818053
3367,42,40.7922553,-73.95249933
3368,13,40.6728155,-73.98352355
3369,10,40.7724607,-73.9468208
3370,10,40.7727966,-73.95577801
3372,10,40.7689738,-73.95482273
3373,31,40.6750705,-73.98775226
3374,28,40.799484,-73.955613
3375,10,40.7699426,-73.96060712
3376,10,40.76471852,-73.9622207
3377,10,40.6786115,-73.99037292
3378,10,40.773763,-73.96222088
3379,19,40.7903051,-73.94755757
3381,18,40.6777287,-73.99364123
3382,10,40.680611,-73.99475825
3383,10,40.804213,-73.96699104
3384,10,40.6787242,-73.99599099
3386,10,40.6809591,-73.99905709
3387,10,40.7934337,-73.94945003
3388,10,40.6828003,-73.99990419
3389,10,40.6830456,-74.00348559
339,10,40.72580614,-73.97422494
3390,10,40.79329668,-73.9432083
3391,10,40.7892529,-73.93956237
3392,13,40.6812117,-74.00860912
3393,10,40.6794327,-74.00785041
3395,10,40.6763744,-74.00324957
3396,10,40.6783563,-74.00014502
3397,10,40.6763947,-73.99869893
3398,10,40.6746957,-73.99785768
3399,10,40.67260298,-73.98983002
340,10,40.71269042,-73.98776323
3400,10,40.7961535,-73.94782145
3402,10,40.6902375,-73.99203074
3403,10,40.6705135,-73.98876585
3404,10,40.6704922,-73.98541675
3405,10,40.6704836,-73.98208968
3407,10,40.679098,-73.98765475
3408,10,40.6881529,-73.99520919
3409,19,40.6867443,-73.99063168
341,15,40.71782143,-73.97628939
3410,10,40.6864442,-73.98759104
3411,10,40.6849668,-73.98620772
3412,10,40.6853761,-73.98302136
3413,10,40.6827549,-73.98258555
3414,10,40.68094472,-73.97567332
3415,10,40.6793307,-73.97519523
3416,10,40.6776147,-73.97324283
3417,10,40.6795766,-73.97854971
3418,45,40.6750207,-73.97111473
3419,10,40.6792788,-73.98154004
342,10,40.71739973,-73.98016555
3420,10,40.6802133,-73.98432695
3422,10,40.6859296,-74.00242364
3423,36,40.66106337,-73.97945255
3424,10,40.791976,-73.945993
3425,10,40.7892105,-73.94370784
3429,28,40.68506807,-73.9779076
343,10,40.69794,-73.96986848
3430,10,40.71907891,-73.9422369
3437,10,40.79313481,-73.97700369
344,10,40.6851443,-73.95380904
3440,36,40.69241829,-73.98949474
3441,460,40.752957,-74.00264
3449,10,40.72146256,-73.94800901
3452,10,40.71915572,-73.94885391
3453,10,40.71335226,-73.94910336
3454,10,40.71036854,-73.94705951
3456,10,40.71638032,-73.94821286
346,19,40.73652889,-74.00618026
3463,153,40.73536706,-73.98797393
3467,261,40.72494672,-74.00165856
3469,10,40.73181402,-73.95995021
3477,10,40.65539977,-74.01062787
3478,15,40.65708867,-74.00870204
3479,10,40.6851256,-74.02535319
3486,13,40.68841743,-73.98451656
349,10,40.71850211,-73.98329859
3491,10,40.79747,-73.93504
3492,10,40.8005385,-73.9419949
3493,10,40.799139,-73.9389152
3494,10,40.797911,-73.9423
3495,10,40.7945663,-73.9362541
3496,10,40.7923272,-73.9383
3497,10,40.7949879,-73.9333349
3498,10,40.7974772,-73.9311847
3499,10,40.8006721,-73.9349
350,10,40.71559509,-73.9870295
3500,10,40.7989445,-73.944846
3501,10,40.8014866,-73.9442507
3502,10,40.7954121,-73.9441232
3503,10,40.80295,-73.942954
3504,10,40.8029263,-73.9379
3505,10,40.805726,-73.936322
3506,10,40.8013066,-73.9398167
3507,10,40.8045555,-73.9396861
3508,10,40.809725,-73.953149
3509,10,40.8011939,-73.9500739
3510,10,40.8078316,-73.949373
3514,10,40.7767,-73.927631
3515,10,40.774591,-73.918544
3516,10,40.7699176,-73.9184057
3517,10,40.7711528,-73.9170074
3518,10,40.808442,-73.9452087
3520,10,40.804372,-73.951475
3521,31,40.7987859,-73.9523
3522,10,40.7701477,-73.9120938
3523,10,40.7729,-73.916142
3524,10,40.7774552,-73.9225403
3525,10,40.776165,-73.9153175
3526,63,40.7747878,-73.9125551
3527,10,40.80698,-73.941747
3529,15,40.8107922,-73.9430681
353,10,40.68539567,-73.97431458
3530,10,40.7787185,-73.9145645
3531,10,40.8125511,-73.9492286
3532,10,40.78145,-73.9183302
3533,19,40.8114323,-73.9518776
3534,13,40.805159,-73.954692
3535,10,40.804038,-73.945925
3536,10,40.8082,-73.9641
3537,10,40.6809741,-73.9710097
3538,10,40.802692,-73.96295
3539,10,40.8067581,-73.9607082
354,10,40.69363137,-73.96223558
3540,18,40.81,-73.9551508
3541,15,40.813358,-73.956461
3542,10,40.8086249,-73.9596214
3543,10,40.81028506,-73.95736456
3544,10,40.6804836,-73.9646795
3545,10,40.8120562,-73.9612547
3546,10,40.6791944,-73.9587903
3547,19,40.8143256,-73.9590255
3549,10,40.678045,-73.962408
355,18,40.71602118,-73.99974372
3551,10,40.795508,-73.941606
3552,10,40.805973,-73.964928
3553,10,40.801694,-73.957145
3554,10,40.7552433,-73.9485678
3555,37,40.751047,-73.93797
3556,10,40.7527085,-73.9397405
3558,10,40.6794388,-73.9680438
3559,10,40.7576314,-73.9391224
356,10,40.71622644,-73.98261206
3560,10,40.754876,-73.934326
3561,22,40.7531106,-73.9279917
3562,10,40.6765198,-73.9596082
3563,10,40.757186,-73.932719
3565,10,40.7614376,-73.9411265
3568,10,40.7569332,-73.9262231
3569,10,40.6758324,-73.9561677
3570,10,40.7557327,-73.9236611
3571,10,40.676368,-73.952918
3572,10,40.756913,-73.921631
3573,10,40.7580583,-73.9242751
3574,10,40.6769694,-73.96579
3575,10,40.76108,-73.930562
3576,10,40.6767,-73.969024
3577,10,40.7628138,-73.9342862
3579,10,40.672695,-73.954131
3580,10,40.6737236,-73.9631611
3581,10,40.6740123,-73.9671457
3582,10,40.6721683,-73.9609
3583,22,40.6716493,-73.9631145
3584,10,40.6707767,-73.9576801
3585,10,40.6691783,-73.9554162
3586,10,40.7638753,-73.9364848
3588,10,40.7671863,-73.9373554
3589,10,40.7668,-73.9347774
3590,10,40.6679411,-73.9588
3591,10,40.7659,-73.930819
3592,10,40.7633589,-73.9286471
3593,10,40.761584,-73.925921
3595,10,40.760339,-73.9222427
3597,10,40.7577284,-73.9166368
3598,10,40.7595701,-73.9142678
3599,24,40.66314,-73.9605695
360,73,40.70717936,-74.00887308
3602,10,40.763154,-73.920827
3603,10,40.7647,-73.9240312
3604,10,40.6630619,-73.9538746
3605,10,40.7658346,-73.9265474
3606,10,40.74252,-73.948852
3607,10,40.7682,-73.9322662
3608,10,40.7423737,-73.9566
3609,10,40.7692475,-73.9354504
361,15,40.71605866,-73.99190759
3610,10,40.770845,-73.934171
3611,10,40.7449067,-73.9534573
3612,10,40.7703743,-73.9286078
3613,10,40.745038,-73.957539
3614,10,40.768692,-73.9249574
3615,10,40.748,-73.9460927
3616,10,40.7656251,-73.9136695
3617,10,40.7671,-73.9169858
3618,10,40.7485,-73.941275
3619,10,40.7713615,-73.9246145
362,46,40.75172632,-73.98753523
3620,10,40.7519071,-73.9479119
3622,10,40.80756,-73.939182
3628,10,40.8025566,-73.9490782
3629,10,40.80949535,-73.94776493
3630,13,40.8038654,-73.9559308
3637,10,40.68323865,-73.96599591
364,10,40.68900443,-73.96023854
3646,10,40.76315482,-73.9398551
3647,10,40.74128309,-73.93725872
3648,15,40.69795032,-73.9707756
3649,10,40.81439444,-73.95324737
3654,10,40.75186951,-73.9334929
3656,10,40.72307749,-73.98583621
3658,87,40.74353373,-74.00367558
366,10,40.693261,-73.968896
3661,10,40.66643931,-73.96055639
3662,10,40.7612939,-73.91691685
3668,10,40.72395678,-73.94984365
3671,10,40.77477945,-73.95427465
3673,10,40.67759207,-73.95563722
3674,40,40.70140317,-73.9867267
3675,10,40.7845968,-73.94968539
3676,10,40.67583294,-74.01472628
368,10,40.73038599,-74.00214988
3680,735,40.75412081,-73.98025185
3686,100,40.7394482,-74.00507033
3687,81,40.74322681,-73.97449784
3689,10,40.79904139,-73.9664948
369,10,40.73224119,-74.00026394
3690,244,40.71334184,-74.00935516
3691,10,40.76408932,-73.91065121
3692,24,40.69999748,-73.97440128
3693,13,40.72248189,-73.95921931
3697,22,40.77515953,-73.98918696
3699,10,40.76360468,-73.98917958
3704,10,40.74375241,-73.94176483
3707,388,40.741459,-73.983293
3708,33,40.735445,-73.99431
3711,15,40.72966729,-73.98067966
3712,96,40.75469175,-73.99740189
3714,10,40.70684203,-73.9544354
3715,36,40.71816969,-73.95520136
3716,10,40.7535992,-73.93795609
3718,13,40.72746421,-73.97950418
372,10,40.69454609,-73.95801365
3720,10,40.68461654,-73.98721285
3721,18,40.76754878,-73.92093346
3723,18,40.69531728,-73.99015725
3724,136,40.76674056,-73.97906899
3725,18,40.76876203,-73.95840794
3726,15,40.74336608,-73.95960689
3727,10,40.71766197,-73.94880027
3728,13,40.69535693,-73.99344027
373,10,40.69331716,-73.95381995
3733,10,40.730563,-73.973984
3734,10,40.759125,-73.962658
3737,15,40.720747,-73.986274
3745,10,40.75651273,-73.92957486
3747,18,40.77755374,-73.9551276
3749,22,40.74757396,-73.97880077
3755,10,40.69064807,-73.95746179
3756,19,40.704508,-73.9351
3757,10,40.710681,-73.93372
3758,13,40.702997,-73.92997
3759,10,40.70538,-73.92535
376,91,40.70862144,-74.00722156
3761,10,40.697842,-73.926241
3762,13,40.677027,-73.9865
3763,10,40.707165,-73.923711
3764,10,40.705517,-73.93936
3766,10,40.715353,-73.93856
3767,10,40.71323,-73.93894
3768,10,40.71019,-73.93734
3769,10,40.707174,-73.93581
3770,10,40.702831,-73.9333
3771,10,40.706237,-73.933871
3772,10,40.713811,-73.93515
3773,10,40.70539,-73.92976
3774,10,40.704425,-73.92836
3775,10,40.702013,-73.923769
3776,10,40.700003,-73.92834
3779,10,40.704876,-73.919911
3781,10,40.698568,-73.918877
3782,10,40.698458,-73.997178
3783,33,40.70838,-74.00495
3787,24,40.69985,-73.97141
3788,60,40.73269,-73.98974
3789,10,40.68186,-73.959432
3790,33,40.7003,-73.991581
3793,10,40.73233978,-73.97898383
3795,10,40.671907,-73.993612
3798,109,40.752269,-73.982079
3799,103,40.74964,-73.98805
380,18,40.73401143,-74.00293877
3803,18,40.665816,-73.956934
3804,24,40.702461,-73.986842
3805,10,40.776173,-73.959757
3809,370,40.763189,-73.978434
3810,13,40.782593,-73.971211
3812,27,40.734814,-73.992085
382,186,40.73492695,-73.99200509
383,13,40.735238,-74.000271
385,28,40.75797322,-73.96603308
386,33,40.71494807,-74.00234482
389,10,40.71044554,-73.96525063
390,54,40.69221589,-73.9842844
391,10,40.69760127,-73.99344559
392,69,40.695065,-73.987167
393,10,40.72299208,-73.97995466
394,10,40.72521311,-73.97768752
396,10,40.68034242,-73.95576894
397,10,40.68415748,-73.96922273
398,10,40.69165183,-73.9999786
399,10,40.68851534,-73.9647628
400,10,40.71926081,-73.98178024
401,10,40.72019576,-73.98997825
403,18,40.72502876,-73.99069656
405,28,40.739323,-74.008119
406,13,40.69512845,-73.99595065
408,10,40.71076228,-73.99400398
410,10,40.72066442,-73.98517977
411,10,40.72228087,-73.97668709
412,18,40.7158155,-73.99422366
415,351,40.7047177,-74.00926027
416,10,40.68753406,-73.97265183
418,18,40.70224,-73.982578
419,10,40.69580705,-73.97355569
420,10,40.68764484,-73.96968902
421,10,40.69573398,-73.97129668
422,15,40.770513,-73.988038
423,18,40.76584941,-73.98690506
432,10,40.72621788,-73.98379855
436,10,40.68216564,-73.95399026
437,27,40.68098339,-73.95004798
438,18,40.72779126,-73.98564945
439,13,40.7262807,-73.98978041
440,739,40.75255434,-73.97282625
443,10,40.70853074,-73.96408963
445,10,40.72740794,-73.98142006
447,31,40.76370739,-73.9851615
448,31,40.75660359,-73.9979009
450,67,40.76227205,-73.98788205
453,10,40.74475148,-73.99915362
454,24,40.75455731,-73.96592976
455,78,40.75001986,-73.96905301
460,22,40.71285887,-73.96590294
461,36,40.73587678,-73.98205027
462,222,40.74691959,-74.00451887
464,342,40.75934501,-73.96759673
467,27,40.68312489,-73.97895137
468,19,40.7652654,-73.98192338
469,13,40.76344058,-73.98268129
470,37,40.74345335,-74.00004031
471,10,40.71286844,-73.95698119
472,37,40.7457121,-73.98194829
473,36,40.72110063,-73.9919254
478,24,40.76030096,-73.99884222
480,13,40.76669671,-73.99061728
481,13,40.71260486,-73.96264403
482,22,40.73935542,-73.99931783
483,63,40.73223272,-73.98889957
485,31,40.75038009,-73.98338988
486,321,40.7462009,-73.98855723
487,10,40.73314259,-73.97573881
494,55,40.74734825,-73.99723551
495,40,40.76269882,-73.99301222
500,15,40.76228826,-73.98336183
502,10,40.714215,-73.981346
503,346,40.73827428,-73.98751968
504,10,40.73221853,-73.98165557
