station_id,latitude,longitude,count
116,40.74177603,-74.00149746,64
119,40.69608941,-73.97803415,10
120,40.68676793,-73.95928168,6
127,40.73172428,-74.00674436,53
128,40.72710258,-74.00297088,74
143,40.69239502,-73.99337909,34
144,40.69839895,-73.98068914,10
146,40.71625008,-74.0091059,29
150,40.720873600000004,-73.98085795,10
151,40.722103786686,-73.997249007225,74
157,40.69089272,-73.99612349,12
161,40.72917025,-73.99810231,32
164,40.75323098,-73.97032517,76
167,40.7489006,-73.97604882,53
168,40.73971301,-73.99456405,100
173,40.7606832709659,-73.98452728986742,54
174,40.7381765,-73.97738662,20
195,40.70905623,-74.01043382,45
2000,40.70255088,-73.98940236,55
2002,40.716887,-73.96319799999999,24
2003,40.733812191966294,-73.9805442094803,40
2005,40.70531194,-73.97100056,2
2006,40.76590936,-73.97634151,83
2008,40.70569254,-74.01677685,76
2009,40.71117444,-73.99682619,14
2012,40.739445,-73.97680600000001,37
2017,40.75022392,-73.97121414,40
2021,40.75929124,-73.98859651,51
2022,40.759107,-73.959223,9
212,40.74334935,-74.00681753,60
216,40.70037867,-73.99548059,6
217,40.70277159,-73.99383605,42
223,40.73781509,-73.99994661,46
224,40.71146364,-74.00552427,23
228,40.7546011026,-73.971878855,62
229,40.72743423,-73.99379025,74
236,40.7284186,-73.98713956,39
237,40.73047309,-73.98672378,29
238,40.7361967,-74.00859207,27
239,40.69196566,-73.9813018,32
241,40.68981035,-73.97493121,7
242,40.697787,-73.973736,18
243,40.68841,-73.979458,8
244,40.69196035,-73.96536851,13
245,40.69327018,-73.97703874,1
247,40.73535398,-74.00483091,14
248,40.72185379,-74.00771779,17
249,40.71870987,-74.0090009,31
250,40.72456089,-73.99565293,65
251,40.72317958,-73.99480012,45
252,40.73226398,-73.99852205,29
254,40.73532427,-73.99800419,33
257,40.71939226,-74.00247214,55
258,40.68940747,-73.96885458,8
259,40.70122128,-74.01234218,67
260,40.70365182,-74.01167797,35
261,40.69474881,-73.98362464,9
262,40.6917823,-73.97372990000001,4
264,40.70706456,-74.00731853,47
265,40.72229346,-73.99147535,23
266,40.72368361,-73.97574813,9
267,40.75097711,-73.98765428,50
268,40.71910537,-73.99973337,71
270,40.69308257,-73.97178913,22
274,40.68691865,-73.976682,11
275,40.68650065,-73.96563307,5
276,40.71748752,-74.0104554,21
278,40.69766564,-73.98476437,3
279,40.707873,-74.00166999999999,42
280,40.73331967,-73.99510132,29
281,40.764397100000004,-73.97371465,73
282,40.7076449441757,-73.9684152603149,14
284,40.7390169121,-74.0026376103,66
285,40.73454567,-73.99074142,98
289,40.684568299999995,-73.95881081,3
291,40.713126,-73.984844,16
293,40.7302066052996,-73.9910262823105,83
295,40.71406667,-73.99293911,14
296,40.71413089,-73.99704679999999,21
297,40.734232,-73.986923,37
298,40.68683208,-73.9796772,14
3002,40.711512,-74.01575600000001,115
301,40.72217444,-73.98368779,26
3016,40.7203677529846,-73.96165072917941,30
302,40.72082834,-73.97793172,16
303,40.72362738,-73.99949601,69
304,40.70463334,-74.01361706,144
3041,40.67890679,-73.94142771,5
3042,40.6794268,-73.92989109999999,5
3043,40.6814598,-73.934903,3
3044,40.6800105,-73.938475,1
3046,40.682601,-73.938037,2
3047,40.682368700000005,-73.944118,2
3048,40.684020000000004,-73.94977,2
3049,40.68488,-73.96304,4
305,40.76095756,-73.96724467,41
3050,40.6851532,-73.94111,3
3052,40.686312,-73.935775,3
3053,40.6900815,-73.94791500000001,4
3054,40.6894932,-73.942061,6
3055,40.68833370000001,-73.950916,3
3056,40.69072549,-73.95133465,6
3057,40.69128258,-73.9452416,5
3058,40.69237074,-73.93705428,1
3059,40.693398200000004,-73.939877,3
3060,40.69425403,-73.94626915,6
3061,40.69622937,-73.94371094,1
3062,40.69539817,-73.94954908,1
3063,40.69527008,-73.95238108,3
3064,40.69681963,-73.93756926,12
3065,40.70029511,-73.95032283,10
3066,40.69957608,-73.94708417,9
3067,40.7016657,-73.9437303,8
3068,40.7031724,-73.940636,3
3069,40.70411791,-73.94818595,4
307,40.71427487,-73.98990025,41
3070,40.70510918,-73.94407279,1
3071,40.70538077,-73.94976519,8
3072,40.70583339,-73.94644578,6
3074,40.70767788,-73.94016171,6
3075,40.70708701,-73.95796783,1
3076,40.70870368,-73.9448625,6
3077,40.70877084,-73.95095259,6
3078,40.709248262761605,-73.96063148975371,23
308,40.71307916,-73.99851193,14
3080,40.709340000000005,-73.95608,7
3081,40.711863,-73.944024,7
3082,40.71167351,-73.95141312,11
3083,40.71247661,-73.94100005,6
3085,40.714690000000004,-73.95739,8
3086,40.715143,-73.944507,20
3087,40.71413311,-73.95234386,8
3088,40.7160751,-73.95202900000001,6
309,40.7149787,-74.013012,64
3092,40.7190095,-73.95852515,16
3093,40.71745169,-73.95850939,38
3094,40.7169811,-73.94485918,5
3095,40.71929301,-73.94500379,6
3096,40.71924,-73.95241999999999,9
310,40.68926942,-73.98912867,21
3100,40.7248125644002,-73.947526216507,6
3101,40.72079821,-73.95484712,12
3102,40.72179134,-73.95041540000001,1
3105,40.724055,-73.955736,7
3106,40.72325,-73.94308000000001,12
3107,40.72311651,-73.95212324,9
3108,40.725570000000005,-73.94434,6
3109,40.72606,-73.95621,7
311,40.7172274,-73.98802084,26
3110,40.72708584,-73.95299117,14
3112,40.72906,-73.95779,17
3113,40.730259999999994,-73.95394,13
3115,40.73232194,-73.9550858,8
3116,40.732659999999996,-73.95826,6
3117,40.735640000000004,-73.95866,9
3118,40.73555,-73.95284000000001,11
3119,40.74232744,-73.95411749,48
312,40.722055,-73.989111,33
3121,40.74524768,-73.94733276,9
3122,40.744363287066896,-73.95587325096129,2
3123,40.74469738,-73.93540375,2
3124,40.74731,-73.95451,5
3125,40.74708586,-73.94977234,9
3126,40.74718234,-73.9432635,14
3127,40.74966,-73.9521,10
3128,40.75052534,-73.94594845,4
3129,40.75110165,-73.94073717,26
313,40.69610226,-73.96751037,7
3130,40.75325964,-73.94335788,12
3131,40.7671284034954,-73.9622461795807,17
3132,40.76350532,-73.97109243,58
3134,40.76312584,-73.96526895,27
3135,40.77112927,-73.95772297,7
3136,40.766368,-73.971518,15
3137,40.77282817,-73.96685276,20
3139,40.7711828754066,-73.96409422159199,31
314,40.69383,-73.990539,31
3140,40.77140426,-73.9535166,21
3141,40.76500525,-73.95818491,58
3142,40.761227399999996,-73.96094022,42
3143,40.77632142182271,-73.964273929596,5
3145,40.77862688,-73.95772073,8
3146,40.77573034,-73.9567526,15
3148,40.77565541,-73.95068615,12
315,40.70355377,-74.00670227,75
3150,40.77536905,-73.94803392,13
3151,40.7728384,-73.94989233,11
3152,40.76873687,-73.96119945,5
3154,40.77314236,-73.95856158,23
3155,40.76440023,-73.96648977,6
3156,40.76663814,-73.95348296,28
3157,40.77518615,-73.94446054,5
3158,40.77163851,-73.98261428,23
3159,40.77492513,-73.98266566,33
316,40.70955958,-74.00653609,49
3160,40.77896784,-73.97374737,43
3161,40.7801839724239,-73.9772853255272,21
3162,40.78339981,-73.98093133,15
3163,40.7734066,-73.97782542,50
3164,40.7770575,-73.97898475,35
3165,40.775793766836706,-73.97620573639871,47
3166,40.780577990103296,-73.9856243133545,16
3167,40.7796680900731,-73.9809304475784,38
3168,40.78472675,-73.96961715,47
3169,40.78720869,-73.98128127,6
317,40.72453734,-73.98185424,31
3170,40.78499979,-73.97283406,8
3171,40.78524672,-73.97667321,21
3172,40.7785669,-73.97754961,11
3173,40.777507027548,-73.98888587951659,14
3175,40.77748046,-73.98288594,22
3177,40.7867947,-73.977112,12
3178,40.78414472,-73.98362492,8
3179,40.698617,-73.941342,8
3182,40.686931,-74.016966,2
319,40.711065999999995,-74.009447,46
320,40.717571,-74.005549,34
321,40.69991755,-73.98971773,29
3221,40.743,-73.93561,9
3226,40.78275,-73.97137,17
323,40.69236178,-73.98631746,38
3231,40.76780080148129,-73.96592080593109,10
3232,40.68962188790329,-73.9830426871777,11
3233,40.7572456791173,-73.978059142828,171
3235,40.752165280622,-73.97992193698879,31
3236,40.75898481399629,-73.9937996864319,44
324,40.689888,-73.981013,19
3241,40.686203000000006,-73.944694,4
3242,40.69102925677971,-73.991833627224,19
3243,40.758923863777,-73.96226227283479,6
3244,40.7314372408523,-73.9949034154415,28
3249,40.680356084043396,-73.94767910242079,4
325,40.73624527,-73.98473765,40
3255,40.7505853470215,-73.9946848154068,69
3256,40.7277140777778,-74.011295735836,51
3259,40.749370241932795,-73.9992338418961,44
326,40.72953837,-73.98426726,42
3260,40.7270636334831,-73.99662137031551,58
3263,40.729514962249496,-73.990752696991,63
327,40.715337899999994,-74.01658354,132
328,40.72405549,-74.00965965,47
3282,40.78307,-73.95939,57
3283,40.7882213,-73.97041561,16
3284,40.78141070019,-73.9559590816498,5
3285,40.78839,-73.9747,13
3286,40.7806284,-73.9521667,15
3287,40.789621999999994,-73.97757,6
3288,40.778301,-73.9488134,14
3289,40.7901794809508,-73.9728891849518,5
3290,40.7779453,-73.94604100000001,7
3292,40.785785100000005,-73.957481,12
3293,40.7921,-73.9739,9
3294,40.7835016,-73.955327,4
3295,40.791270000000004,-73.964839,29
3296,40.7824541752799,-73.94891962409021,8
3298,40.686371,-73.99383324,13
3299,40.788129999999995,-73.95206,1
330,40.71450451,-74.00562789,46
3300,40.6651468153379,-73.9763760566711,6
3301,40.7919557,-73.968087,30
3302,40.7969347,-73.9643412291,2
3303,40.6849894,-73.99440329,4
3304,40.668127,-73.98377641,4
3305,40.7811222993417,-73.9496558904648,5
3306,40.666207799999995,-73.98199886,2
3307,40.7941654,-73.974124,10
3308,40.686175799999994,-73.99645295,7
3309,40.7859201,-73.94860294,8
331,40.71173107,-73.99193043,21
3310,40.663779,-73.98396846,9
3312,40.78172120000001,-73.94594000000001,6
3313,40.666318100000005,-73.9854617,2
3314,40.7937704,-73.971888,17
3315,40.684751399999996,-73.99917254,5
3317,40.6686273,-73.98700053,5
3318,40.7839636,-73.94716729999999,25
3319,40.666287,-73.98895053,10
332,40.71219906,-73.97948148,34
3320,40.7940666081855,-73.9628684520721,12
3321,40.683116399999996,-73.99785267,2
3322,40.668603000000004,-73.99043940000001,1
3323,40.798185600000004,-73.96059090060001,8
3324,40.6685455,-73.99333264,4
3325,40.7849032,-73.950503,3
3327,40.787721399999995,-73.94728331,3
3328,40.795,-73.9645,7
3329,40.6829151,-73.99318208,2
3330,40.672505799999996,-74.00494695,4
3331,40.8013434,-73.97114574390001,8
3332,40.681990442707,-73.9907902479172,6
3333,40.6747055,-74.00755720000001,2
3335,40.6772744,-73.98282002,8
3336,40.787801,-73.953559,18
3337,40.673635513415,-74.0119555592537,6
3338,40.786258600000004,-73.94552579,4
3339,40.6765304,-73.97846879,6
334,40.74238787,-73.99726235,45
3341,40.795346,-73.96186,6
3342,40.677774799999995,-74.0094613,3
3343,40.7997568,-73.9621128676,1
3344,40.679043,-74.011169,3
3345,40.789485415532205,-73.9524292945862,13
3346,40.6751468387098,-73.9752320945263,14
3347,40.6773429,-74.01275056,4
3348,40.677236,-74.015665,4
3349,40.6729679,-73.97087984,10
335,40.72903917,-73.99404649,36
3350,40.797372100000004,-73.97041192,14
3351,40.7869946,-73.94164802,14
3352,40.6726724341095,-74.00879524648191,5
3354,40.668132,-73.97363831,8
3355,40.7680088930595,-73.9684528112412,19
3356,40.7746671,-73.98470567,16
3357,40.80083629999999,-73.9664492472,14
3358,40.671197799999995,-73.97484126,8
3359,40.7691572,-73.96703464,6
336,40.73047747,-73.99906065,24
3360,40.7829391,-73.9786517,22
3362,40.7781314,-73.96069399,20
3363,40.7904828,-73.95033068,10
3364,40.6751622,-73.9814832,8
3365,40.67038370000001,-73.97839676,7
3366,40.8021174,-73.9681805305,10
3367,40.792255299999994,-73.95249933,25
3368,40.672815500000006,-73.98352355,15
3369,40.7724607,-73.9468208,6
337,40.703799200000006,-74.00838676,95
3370,40.7727966,-73.95577801,8
3372,40.7689738,-73.95482273,17
3373,40.675070500000004,-73.98775226,17
3374,40.799484,-73.955613,23
3375,40.7699426,-73.96060712,5
3376,40.7647185194434,-73.96222069859509,14
3377,40.6786115,-73.99037292,7
3378,40.773763,-73.96222088,12
3379,40.790305100000005,-73.94755757,16
3381,40.6777287,-73.99364123,14
3382,40.680611,-73.99475825,8
3383,40.804213,-73.96699104,12
3384,40.678724200000005,-73.99599099,9
3386,40.6809591,-73.99905709,4
3387,40.79343370000001,-73.94945003,10
3388,40.6828003,-73.99990419,5
3389,40.6830456,-74.00348559,6
339,40.72580614,-73.97422494,11
3390,40.79329668,-73.9432083,6
3391,40.7892529,-73.93956237,3
3392,40.681211700000006,-74.00860912,7
3393,40.67943270000001,-74.00785041,1
3395,40.6763744,-74.00324957,1
3396,40.6783563,-74.00014502,5
3397,40.6763947,-73.99869893,1
3398,40.67469570000001,-73.99785768,9
3399,40.6726029815013,-73.9898300170898,5
340,40.71269042,-73.98776323,7
3400,40.796153499999996,-73.94782145,13
3402,40.6902375,-73.99203074,15
3403,40.6705135,-73.98876585,8
3404,40.670492200000005,-73.98541675,6
3405,40.670483600000004,-73.98208968,4
3407,40.6790979972168,-73.9876547455788,7
3408,40.6881529,-73.99520919,7
3409,40.686744299999994,-73.99063168,26
341,40.71782143,-73.97628939,11
3410,40.686444200000004,-73.98759104,9
3411,40.6849668,-73.98620772,1
3412,40.6853761,-73.98302136,3
3413,40.6827549,-73.98258555,6
3414,40.680944723477296,-73.9756733179092,6
3415,40.6793307,-73.97519523,4
3416,40.67761470000001,-73.97324283,14
3417,40.6795766,-73.97854971,4
3418,40.675020700000005,-73.97111473,24
3419,40.67927879999999,-73.98154004,5
342,40.71739973,-73.98016555,15
3420,40.6802133,-73.98432695,9
3422,40.6859296,-74.00242364,7
3423,40.6610633719006,-73.97945255041121,25
3424,40.791976,-73.945993,4
3425,40.789210499999996,-73.94370784,8
3429,40.6850680730818,-73.97790759801859,36
343,40.69794,-73.96986848,7
3430,40.7190789117956,-73.94223690032959,1
3435,40.718821999999996,-73.99596,72
3437,40.7931348098666,-73.97700369358058,8
344,40.6851443,-73.95380904,5
3440,40.6924182925785,-73.989494740963,33
3441,40.752957,-74.00264,15
3443,40.761329831248105,-73.9798200130463,84
3449,40.7214625622982,-73.9480090141296,3
3452,40.719155716960394,-73.9488539099693,4
3453,40.713352262228796,-73.9491033554077,12
3454,40.71036854235229,-73.94705951213841,2
3456,40.716380319735606,-73.9482128620148,2
3457,40.76302594280521,-73.9720952510834,77
3459,40.7576322773944,-73.9693057537079,143
346,40.73652889,-74.00618026,33
3461,40.7148515052625,-74.0112233161926,82
3463,40.735367055605394,-73.9879739284515,27
3467,40.7249467235942,-74.0016585588455,50
3469,40.7318140172097,-73.9599502086639,12
347,40.728846000000004,-74.00859100000001,139
3472,40.742753828659,-74.0074735879898,81
3477,40.6553997744783,-74.01062786579129,5
3478,40.6570886666849,-74.00870203971859,8
3479,40.6851255951541,-74.0253531932831,5
3486,40.6884174275408,-73.9845165610313,15
349,40.71850211,-73.98329859,16
3491,40.797470000000004,-73.93504,3
3492,40.8005385,-73.9419949,2
3493,40.799139000000004,-73.9389152,6
3494,40.797911,-73.9423,7
3495,40.79456629999999,-73.9362541,4
3496,40.7923272,-73.9383,7
3497,40.794987899999995,-73.9333349,9
3498,40.7974772,-73.9311847,2
3499,40.8006721,-73.9349,2
350,40.71559509,-73.9870295,26
3500,40.7989445,-73.944846,6
3501,40.801486600000004,-73.9442507,2
3502,40.79541210000001,-73.9441232,7
3503,40.80295,-73.942954,1
3504,40.802926299999996,-73.9379,8
3505,40.805726,-73.936322,5
3506,40.8013066,-73.93981670000001,5
3507,40.8045555,-73.93968609999999,15
3508,40.809725,-73.953149,9
3509,40.8011939,-73.9500739,6
351,40.70530954,-74.00612572,61
3510,40.8078316,-73.949373,3
3514,40.7767,-73.927631,1
3515,40.774591,-73.918544,2
3516,40.76991760000001,-73.91840570000001,6
3517,40.771152799999996,-73.9170074,4
3518,40.808442,-73.94520870000001,11
3520,40.804372,-73.951475,2
3521,40.7987859,-73.9523,28
3522,40.7701477,-73.9120938,2
3523,40.7729,-73.91614200000001,2
3524,40.777455200000006,-73.9225403,3
3525,40.776165,-73.9153175,3
3526,40.7747878,-73.91255509999999,32
3527,40.806979999999996,-73.94174699999999,5
3529,40.8107922,-73.9430681,11
353,40.68539567,-73.97431458,9
3530,40.7787185,-73.9145645,1
3531,40.8125511,-73.9492286,3
3532,40.78145,-73.9183302,3
3533,40.8114323,-73.95187759999999,12
3534,40.805159,-73.95469200000001,12
3535,40.804038,-73.945925,4
3536,40.8082,-73.9641,7
3537,40.68097410000001,-73.97100970000001,7
3538,40.802692,-73.96295,16
3539,40.8067581,-73.9607082,2
354,40.69363137,-73.96223558,6
3540,40.81,-73.9551508,10
3541,40.813358,-73.956461,8
3542,40.8086249,-73.9596214,2
3543,40.81028506306,-73.9573645591736,3
3544,40.6804836,-73.9646795,3
3545,40.8120562,-73.9612547,3
3546,40.67919439999999,-73.95879029999999,1
3547,40.8143256,-73.9590255,15
3549,40.678045000000004,-73.962408,3
355,40.71602118,-73.99974372,33
3551,40.795508,-73.94160600000001,4
3552,40.805973,-73.964928,14
3553,40.801694,-73.957145,13
3554,40.7552433,-73.94856779999999,4
3555,40.751047,-73.93796999999999,22
3556,40.752708500000004,-73.9397405,3
3558,40.6794388,-73.96804379999999,9
3559,40.7576314,-73.9391224,1
356,40.71622644,-73.98261206,8
3560,40.754876,-73.934326,3
