station_id,latitude,longitude,count
116,40.74177603,-74.00149746,66.0
119,40.69608941,-73.97803415,5.0
120,40.68676793,-73.95928168,9.0
127,40.73172428,-74.00674436,60.0
128,40.72710258,-74.00297088,74.0
143,40.69239502,-73.99337909,14.0
144,40.69839895,-73.98068914,5.0
146,40.71625008,-74.0091059,31.0
150,40.720873600000004,-73.98085795,37.0
151,40.722103786686,-73.997249007225,70.0
157,40.69089272,-73.99612349,24.0
161,40.72917025,-73.99810231,36.0
164,40.75323098,-73.97032517,22.0
167,40.7489006,-73.97604882,34.0
168,40.73971301,-73.99456405,60.0
173,40.7606832709659,-73.98452728986742,42.0
174,40.7381765,-73.97738662,31.0
195,40.70905623,-74.01043382,43.0
2000,40.70255088,-73.98940236,30.0
2002,40.716887,-73.96319799999999,34.0
2003,40.733812191966294,-73.9805442094803,74.0
2005,0.0,0.0,0.0
2006,40.76590936,-73.97634151,55.0
2008,40.70569254,-74.01677685,91.0
2009,40.71117444,-73.99682619,26.0
2012,40.739445,-73.97680600000001,15.0
2017,40.75022392,-73.97121414,25.0
2021,40.75929124,-73.98859651,60.0
2022,40.759107,-73.959223,10.0
212,40.74334935,-74.00681753,52.0
216,40.70037867,-73.99548059,12.0
217,40.70277159,-73.99383605,15.0
223,40.73781509,-73.99994661,61.0
224,40.71146364,-74.00552427,13.0
228,40.7546011026,-73.971878855,21.0
229,40.72743423,-73.99379025,63.0
236,40.7284186,-73.98713956,67.0
237,40.73047309,-73.98672378,40.0
238,40.7361967,-74.00859207,46.0
239,40.69196566,-73.9813018,17.0
241,40.68981035,-73.97493121,19.0
242,40.697787,-73.973736,14.0
243,40.68841,-73.979458,6.0
244,40.69196035,-73.96536851,22.0
245,40.69327018,-73.97703874,4.0
247,40.73535398,-74.00483091,59.0
248,40.72185379,-74.00771779,5.0
249,40.71870987,-74.0090009,17.0
250,40.72456089,-73.99565293,68.0
251,40.72317958,-73.99480012,42.0
252,40.73226398,-73.99852205,39.0
254,40.73532427,-73.99800419,73.0
257,40.71939226,-74.00247214,40.0
258,40.68940747,-73.96885458,16.0
259,40.70122128,-74.01234218,17.0
260,40.70365182,-74.01167797,7.0
261,40.69474881,-73.98362464,15.0
262,40.6917823,-73.97372990000001,14.0
264,40.70706456,-74.00731853,15.0
265,40.72229346,-73.99147535,42.0
266,40.72368361,-73.97574813,27.0
267,40.75097711,-73.98765428,36.0
268,40.71910537,-73.99973337,43.0
270,40.69308257,-73.97178913,31.0
274,40.68691865,-73.976682,10.0
275,40.68650065,-73.96563307,11.0
276,40.71748752,-74.0104554,28.0
278,40.69766564,-73.98476437,6.0
279,40.707873,-74.00166999999999,40.0
280,40.73331967,-73.99510132,31.0
281,40.764397100000004,-73.97371465,35.0
282,40.7076449441757,-73.9684152603149,14.0
284,40.7390169121,-74.0026376103,74.0
285,40.73454567,-73.99074142,76.0
289,40.684568299999995,-73.95881081,9.0
291,40.713126,-73.984844,27.0
293,40.7302066052996,-73.9910262823105,85.0
295,40.71406667,-73.99293911,22.0
296,40.71413089,-73.99704679999999,23.0
297,40.734232,-73.986923,68.0
298,40.68683208,-73.9796772,14.0
3002,40.711512,-74.01575600000001,109.0
301,40.72217444,-73.98368779,65.0
3016,40.7203677529846,-73.96165072917941,24.0
302,40.72082834,-73.97793172,40.0
303,40.72362738,-73.99949601,43.0
304,40.70463334,-74.01361706,22.0
3041,40.67890679,-73.94142771,6.0
3042,40.6794268,-73.92989109999999,9.0
3043,40.6814598,-73.934903,3.0
3044,40.6800105,-73.938475,1.0
3046,40.682601,-73.938037,5.0
3047,40.682368700000005,-73.944118,10.0
3048,40.684020000000004,-73.94977,4.0
3049,40.68488,-73.96304,10.0
305,40.76095756,-73.96724467,27.0
3050,40.6851532,-73.94111,3.0
3052,40.686312,-73.935775,11.0
3053,40.6900815,-73.94791500000001,4.0
3054,40.6894932,-73.942061,8.0
3055,40.68833370000001,-73.950916,7.0
3056,40.69072549,-73.95133465,5.0
3057,40.69128258,-73.9452416,8.0
3058,40.69237074,-73.93705428,1.0
3059,40.693398200000004,-73.939877,5.0
3060,40.69425403,-73.94626915,8.0
3061,40.69622937,-73.94371094,2.0
3062,40.69539817,-73.94954908,2.0
3063,40.69527008,-73.95238108,3.0
3064,40.69681963,-73.93756926,8.0
3065,40.70029511,-73.95032283,2.0
3066,40.69957608,-73.94708417,7.0
3067,40.7016657,-73.9437303,8.0
3068,40.7031724,-73.940636,3.0
3069,40.70411791,-73.94818595,8.0
307,40.71427487,-73.98990025,72.0
3070,40.70510918,-73.94407279,5.0
3071,40.70538077,-73.94976519,6.0
3072,40.70583339,-73.94644578,6.0
3074,0.0,0.0,0.0
3075,40.70708701,-73.95796783,7.0
3076,40.70870368,-73.9448625,13.0
3077,40.70877084,-73.95095259,14.0
3078,40.709248262761605,-73.96063148975371,12.0
308,40.71307916,-73.99851193,16.0
3080,40.709340000000005,-73.95608,16.0
3081,40.711863,-73.944024,8.0
3082,40.71167351,-73.95141312,11.0
3083,40.71247661,-73.94100005,7.0
3085,40.714690000000004,-73.95739,8.0
3086,40.715143,-73.944507,12.0
3087,40.71413311,-73.95234386,11.0
3088,40.7160751,-73.95202900000001,6.0
309,40.7149787,-74.013012,29.0
3092,40.7190095,-73.95852515,20.0
3093,40.71745169,-73.95850939,39.0
3094,40.7169811,-73.94485918,9.0
3095,40.71929301,-73.94500379,4.0
3096,40.71924,-73.95241999999999,14.0
310,40.68926942,-73.98912867,22.0
3100,40.7248125644002,-73.947526216507,12.0
3101,40.72079821,-73.95484712,7.0
3102,40.72179134,-73.95041540000001,7.0
3105,40.724055,-73.955736,10.0
3106,40.72325,-73.94308000000001,19.0
3107,40.72311651,-73.95212324,23.0
3108,40.725570000000005,-73.94434,33.0
3109,40.72606,-73.95621,7.0
311,40.7172274,-73.98802084,75.0
3110,40.72708584,-73.95299117,26.0
3112,40.72906,-73.95779,18.0
3113,40.730259999999994,-73.95394,18.0
3115,40.73232194,-73.9550858,21.0
3116,40.732659999999996,-73.95826,14.0
3117,40.735640000000004,-73.95866,18.0
3118,40.73555,-73.95284000000001,20.0
3119,40.74232744,-73.95411749,16.0
312,40.722055,-73.989111,57.0
3121,40.74524768,-73.94733276,12.0
3122,40.744363287066896,-73.95587325096129,2.0
3123,40.74469738,-73.93540375,2.0
3124,40.74731,-73.95451,28.0
3125,40.74708586,-73.94977234,6.0
3126,40.74718234,-73.9432635,11.0
3127,40.74966,-73.9521,4.0
